iter	Passed	Remaining
740	13659	4774
741	13682	4757
742	13707	4741
743	13735	4726
744	13756	4708
745	13781	4692
746	13804	4675
747	13822	4656
748	13841	4638
749	13863	4621
750	13889	4605
751	13910	4587
752	13934	4570
753	13957	4553
754	13983	4537
755	14008	4521
756	14031	4504
757	14054	4487
758	14077	4470
759	14098	4452
760	14119	4434
761	14138	4415
762	14161	4398
763	14182	4381
764	14293	4390
765	14323	4375
766	14348	4358
767	14369	4340
768	14388	4322
769	14408	4303
770	14432	4286
771	14451	4268
772	14473	4250
773	14492	4231
774	14518	4215
775	14543	4198
776	14567	4180
777	14593	4164
778	14611	4145
779	14629	4126
780	14647	4107
781	14665	4088
782	14682	4069
783	14701	4050
784	14718	4031
785	14737	4012
786	14753	3993
787	14776	3975
788	14802	3958
789	14821	3939
790	14838	3920
791	14855	3901
792	14871	3882
793	14887	3862
794	14903	3843
795	14920	3823
796	14937	3804
797	14953	3785
798	14969	3765
799	14985	3746
800	15001	3727
801	15017	3707
802	15038	3689
803	15056	3670
804	15074	3651
805	15098	3634
806	15116	3615
807	15135	3596
808	15153	3577
809	15172	3558
810	15196	3541
811	15211	3521
812	15225	3501
813	15243	3483
814	15257	3463
815	15274	3444
816	15296	3426
817	15316	3407
818	15335	3389
819	15355	3370
820	15375	3352
821	15393	3333
822	15411	3314
823	15426	3295
824	15440	3275
825	15456	3255
826	15469	3236
827	15484	3216
828	15499	3197
829	15516	3178
830	15533	3159
831	15551	3140
832	15573	3122
833	15590	3103
834	15605	3083
835	15628	3065
836	15656	3048
837	15674	3030
838	15692	3011
839	15710	2992
840	15729	2973
841	15745	2954
842	15768	2936
843	15787	2918
844	15802	2898
845	15818	2879
846	15833	2860
847	15847	2840
848	15869	2822
849	15888	2803
850	15908	2785
851	15926	2766
852	15945	2747
853	15966	2729
854	15985	2710
855	16004	2692
856	16023	2673
857	16040	2654
858	16067	2637
859	16090	2619
860	16111	2601
861	16132	2582
862	16153	2564
863	16173	2545
864	16191	2526
865	16208	2508
866	16227	2489
867	16246	2470
868	16266	2452
869	16282	2433
870	16301	2414
871	16327	2396
872	16342	2377
873	16362	2358
874	16382	2340
875	16404	2322
876	16424	2303
877	16447	2285
878	16466	2266
879	16495	2249
880	16516	2230
881	16534	2212
882	16549	2192
883	16565	2173
884	16581	2154
885	16599	2135
886	16616	2116
887	16639	2098
888	16662	2080
889	16684	2062
890	16719	2045
891	16750	2028
892	16786	2011
893	16820	1994
894	16843	1976
895	16861	1957
896	16879	1938
897	16907	1920
898	16928	1901
899	16945	1882
900	16963	1863
901	16981	1844
902	17002	1826
903	17025	1808
904	17046	1789
905	17069	1771
906	17087	1752
907	17107	1733
908	17128	1714
909	17152	1696
910	17171	1677
911	17189	1658
912	17206	1639
913	17223	1620
914	17239	1601
915	17258	1582
916	17274	1563
917	17292	1544
918	17308	1525
919	17334	1507
920	17352	1488
921	17369	1469
922	17387	1450
923	17406	1431
924	17427	1413
925	17446	1394
926	17465	1375
927	17484	1356
928	17502	1337
929	17520	1318
930	17538	1299
931	17555	1280
932	17571	1261
933	17588	1242
934	17605	1223
935	17621	1204
936	17642	1186
937	17658	1167
938	17673	1148
939	17694	1129
940	17712	1110
941	17728	1091
942	17750	1072
943	17771	1054
944	17787	1035
945	17803	1016
946	17819	997
947	17838	978
948	17854	959
949	17868	940
950	17883	921
951	17898	902
952	17913	883
953	17927	864
954	17942	845
955	17960	826
956	17976	807
957	17993	788
958	18010	770
959	18027	751
960	18046	732
961	18064	713
962	18080	694
963	18097	675
964	18113	656
965	18128	638
966	18144	619
967	18163	600
968	18182	581
969	18195	562
970	18214	543
971	18232	525
972	18248	506
973	18265	487
974	18286	468
975	18304	450
976	18324	431
977	18343	412
978	18367	393
979	18386	375
980	18404	356
981	18423	337
982	18442	318
983	18460	300
984	18483	281
985	18504	262
986	18529	244
987	18549	225
988	18570	206
989	18601	187
990	18623	169
991	18646	150
992	18670	131
993	18700	112
994	18739	94
995	18771	75
996	18796	56
997	18818	37
998	18835	18
999	18862	0
